0.000	18.3	20.8
0.500	18.3	20.8
1.000	18.3	20.8
1.500	18.3	20.8
2.000	18.3	20.8
2.500	18.3	20.8
3.000	18.3	20.8
3.500	18.3	20.8
4.000	18.3	20.8
4.500	18.3	20.8
5.000	18.3	20.8
5.500	18.5	20.8
6.000	27.0	20.8
6.500	40.2	20.8
7.000	51.5	20.8
7.500	59.9	20.8
8.000	65.9	20.8
8.500	70.2	20.8
9.000	73.5	20.8
9.500	76.1	20.8
10.000	78.2	20.8
10.500	79.9	20.8
11.000	81.3	20.8
11.500	82.5	20.8
12.000	83.4	20.8
12.500	84.2	20.8
13.000	84.8	20.8
13.500	85.4	20.8
14.000	85.9	20.8
14.500	86.3	20.8
15.000	86.6	20.8
15.500	86.8	20.8
16.000	87.0	20.8
16.500	87.2	20.8
17.000	87.4	20.8
17.500	87.6	20.8
18.000	87.7	20.8
18.500	87.9	20.8
19.000	87.9	20.8
19.500	88.1	20.8
20.000	88.1	20.8
20.500	88.2	20.8
21.000	88.2	20.8
21.500	88.3	20.9
22.000	88.3	24.1
22.500	88.4	29.9
23.000	88.4	36.0
23.500	88.4	41.9
24.000	88.4	47.2
24.500	88.5	51.9
25.000	88.5	56.1
25.500	88.5	59.6
26.000	88.5	62.8
26.500	88.5	65.5
27.000	88.6	67.8
27.500	88.6	69.8
28.000	88.6	71.4
28.500	88.6	72.9
29.000	88.6	74.1
29.500	88.6	75.1
30.000	88.6	76.0
30.500	88.6	76.8
31.000	88.6	77.4
31.500	88.6	77.9
32.000	88.6	78.3
32.500	88.6	78.6
33.000	88.6	78.9
33.500	88.6	79.0
34.000	88.5	79.1
34.500	88.5	79.1
35.000	88.5	79.1
35.500	88.4	79.0
36.000	88.4	79.0
36.500	88.4	79.0
37.000	88.4	78.9
37.500	88.3	78.8
38.000	88.2	78.7
38.500	88.2	78.6
39.000	88.1	78.5
39.500	88.1	78.4
40.000	88.1	78.2
40.500	88.0	78.1
41.000	88.0	77.9
41.500	87.9	77.7
42.000	87.9	77.5
42.500	87.9	77.3
43.000	87.9	77.2
43.500	87.9	77.1
44.000	87.9	76.9
44.500	87.8	76.7
45.000	87.8	76.5
45.500	87.8	76.3
46.000	87.8	76.2
46.500	87.8	76.0
47.000	87.8	75.9
47.500	87.8	75.7
48.000	87.8	75.6
48.500	87.7	75.4
49.000	87.7	75.3
49.500	87.7	75.1
50.000	87.7	75.0
50.500	87.7	74.9
51.000	87.7	74.8
51.500	87.7	74.6
52.000	87.7	74.5
52.500	87.7	74.3
53.000	87.7	74.2
53.500	87.7	74.0
54.000	87.6	73.9
54.500	87.6	73.7
55.000	87.6	73.6
55.500	87.6	73.4
56.000	87.6	73.3
56.500	87.5	73.1
57.000	87.5	73.0
57.500	87.5	72.8
58.000	87.5	72.7
58.500	87.5	72.5
59.000	87.5	72.4
59.500	87.4	72.3
60.000	87.4	72.1
60.500	87.4	72.0
61.000	87.4	71.9
61.500	87.4	71.8
62.000	87.4	71.6
62.500	87.4	71.5
63.000	87.3	71.4
63.500	87.3	71.3
64.000	87.3	71.2
